

54,1668,-2337
135,1669,-2174
225,2163,-1398
1076,1904,-2617
645,1384,-1781
1216,1865,-2606
1080,677,-913
173,885,-2486
1200,1849,-1307
71,844,-2359
11,1676,-2291
1240,485,-2293
1062,1817,-2509
1206,580,-948
1169,654,-2333
1095,1791,-1282
37,755,-1230
1068,561,-2279
327,2181,-1335
1131,1785,-1315
154,811,-2316
1104,483,-866
-67,747,-1048
-15,892,-1140
187,2135,-1369
1756,490,-1923
321,523,-1762
1649,-943,-734
1700,-803,-663
273,-747,-1906
1122,-189,-1302
1676,-833,-2021
1839,341,-798
1787,450,-879
316,-714,-1911
224,-834,-915
690,538,-648
1820,419,-1939
1780,334,-870
258,-830,-1788
1459,-826,-2058
655,412,-551
950,-297,-1370
1679,-1048,-658
288,487,-1756
1875,481,-1768
1625,-789,-2026
224,-840,-925
737,514,-454
302,-901,-872
296,418,-1820
-749,1676,620
445,442,692
-660,1699,-800
-820,1507,580
-618,455,-394
-648,1583,566
-786,1602,-765
178,384,-363
368,302,-368
402,356,756
-1098,404,437
383,1777,-483
-684,1505,-847
247,1907,773
-264,1163,106
218,231,-300
-938,406,508
266,1833,603
-598,529,-339
-629,687,-364
349,1866,646
487,1769,-665
-1028,330,504
454,334,662
435,1914,-573
102,-119,531
-1044,-336,1551
121,904,817
-25,1219,1972
-63,1247,2001
-969,869,1918
-1122,-17,426
-975,881,331
-97,949,850
-54,955,792
-474,292,1148
-918,-239,1516
229,-169,1651
-942,-433,1469
-966,1036,450
125,-161,1833
177,-24,1743
-165,1265,1938
-933,875,1885
-1037,1052,386
22,-139,425
114,-44,451
-1006,-8,419
-1115,-89,367
-1038,933,1910
-536,457,1228

----------------------------

-892,524,684
-876,649,763
-838,591,734
-789,900,-551
-739,-1745,668
-706,-3180,-659
-697,-3072,-689
-689,845,-530
-687,-1600,576
-661,-816,-575
-654,-3158,-753
-635,-1737,486
-631,-672,1502
-624,-1620,1868
-620,-3212,371
-618,-824,-621
-612,-1695,1788
-601,-1648,-643
-584,868,-557
-537,-823,-458
-532,-1715,1894
-518,-1681,-600
-499,-1607,-770
-485,-357,347
-470,-3283,303
-456,-621,1527
-447,-329,318
-430,-3130,366
-413,-627,1469
-345,-311,381
-36,-1284,1171
-27,-1108,-65
7,-33,-71
12,-2351,-103
26,-1119,1091
346,-2985,342
366,-3059,397
377,-2827,367
390,-675,-793
396,-1931,-563
404,-588,-901
408,-1815,803
423,-701,434
432,-2009,850
443,580,662
455,729,728
456,-540,1869
459,-707,401
465,-695,1988
474,580,667
496,-1584,1900
497,-1838,-617
527,-524,1933
528,-643,409
534,-1912,768
544,-627,-890
553,345,-567
564,392,-477
568,-2007,-577
605,-1665,1952
612,-1593,1893
630,319,-379
686,-3108,-505
776,-3184,-501
846,-3110,-434
1135,-1161,1235
1243,-1093,1063
1660,-552,429
1693,-557,386
1735,-437,1738
1749,-1800,1813
1772,-405,1572
1776,-675,371
1779,-442,1789
1780,-1548,337
1786,-1538,337
1847,-1591,415
1889,-1729,1762
1994,-1805,1792
